SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
757GS2033, GS, 16-Dec-2022,101.65,101.65,101.65,101.65,101.65,101.65,101.65,5000,5.08,1,5000,100
759GS2026, GS, 16-Dec-2022,104.1,104.2,104.2,104.2,104.2,104.2,104.2,500,0.52,1,500,100
768GS2023, GS, 16-Dec-2022,100.44,100.65,100.65,100.65,100.65,100.65,100.65,300000,301.95,3,300000,100
A2ZINFRA, EQ, 16-Dec-2022,11.3,11.65,11.9,11.1,11.3,11.3,11.53,1165394,134.36,993,780845,67
AAATECH, EQ, 16-Dec-2022,58.3,57.95,59.9,57.2,58.5,58.8,59.2,8080,4.78,359,4184,51.78
AAKASH, EQ, 16-Dec-2022,6.9,7,7,6.65,6.7,6.7,6.76,600936,40.63,1312,523912,87.18
AAREYDRUGS, EQ, 16-Dec-2022,38.35,38.35,38.4,37.2,37.55,37.45,37.76,12778,4.83,241,7921,61.99
AARON, EQ, 16-Dec-2022,166.5,165.5,167,163.1,163.3,164.1,164.85,3258,5.37,181,1803,55.34
AARTIDRUGS, EQ, 16-Dec-2022,458.35,458.35,461.85,455.85,458.4,458.15,459.43,36651,168.39,3547,19052,51.98
AARTIIND, EQ, 16-Dec-2022,640,640,642.5,626.1,629,629.1,633.76,843679,5346.89,31644,381967,45.27
AARTISURF, EQ, 16-Dec-2022,675.35,680,680,666,671.8,668.3,671.13,7061,47.39,797,5185,73.43
AARVEEDEN, EQ, 16-Dec-2022,24.7,25.65,25.65,23.4,24.9,24.1,24.24,23649,5.73,434,15641,66.14
AARVI, EQ, 16-Dec-2022,183.45,187.4,187.4,182.65,183.55,183.55,184.25,15136,27.89,521,11393,75.27
AAVAS, EQ, 16-Dec-2022,1971.2,1968.05,1990.25,1936.35,1987,1985.55,1973.62,69508,1371.82,8343,48313,69.51
ABAN, EQ, 16-Dec-2022,53,53,56.6,53,54.1,54.05,55.05,933290,513.75,9418,338040,36.22
ABB, EQ, 16-Dec-2022,2930.2,2920,2927.95,2825,2830,2838.5,2853.75,425206,12134.34,39565,209562,49.28
ABBOTINDIA, EQ, 16-Dec-2022,20571.7,20649.85,20814,20357.8,20520.25,20672.8,20663.55,13946,2881.74,5795,3563,25.55
ABCAPITAL, EQ, 16-Dec-2022,153.65,152.95,154.9,149.5,152.2,152.75,152.33,4157163,6332.46,27860,1412815,33.99
ABCOTS, SM, 16-Dec-2022,51,51.05,51.05,51.05,51.05,51.05,51.05,4000,2.04,1,4000,100
ABFRL, EQ, 16-Dec-2022,308.55,306.95,308.5,300.2,302.5,303.35,303.31,3175032,9630.16,35699,1413885,44.53
ABMINTLLTD, BE, 16-Dec-2022,68,68,68,68,68,68,68,28,0.02,3, -, -
ABSLAMC, EQ, 16-Dec-2022,451.05,451.05,456.05,444.5,455.1,453.25,450.39,55014,247.78,2860,24712,44.92
ABSLBANETF, EQ, 16-Dec-2022,43.58,43.58,44.49,43.1,43.37,43.33,43.42,3437750,1492.68,389,3428763,99.74
ABSLNN50ET, EQ, 16-Dec-2022,44.63,44.7,45.06,44.03,44.03,44.09,44.33,3361,1.49,169,1496,44.51
ACC, EQ, 16-Dec-2022,2635.5,2610.1,2655,2595.35,2619.95,2616.75,2620.66,433332,11356.18,23279,183726,42.4
ACCELYA, EQ, 16-Dec-2022,1594.25,1597,1597,1538,1558,1553.3,1563.31,23234,363.22,2896,11754,50.59
ACCURACY, EQ, 16-Dec-2022,176.95,179.7,179.7,174.8,175.1,176.4,175.98,10099,17.77,232,8202,81.22
ACE, EQ, 16-Dec-2022,326.5,325.45,335.95,323.25,326,325.4,330.57,624149,2063.22,19025,197392,31.63
ACEINTEG, EQ, 16-Dec-2022,54.1,52.6,59,52.6,57.55,57.15,57.12,5090,2.91,75,3494,68.64
ACI, EQ, 16-Dec-2022,513.15,509.4,514.7,501,511.25,508.6,507.48,509306,2584.65,16070,348596,68.45
ADANIENT, EQ, 16-Dec-2022,4043.75,4018.9,4047.9,3944.05,3983,3980.8,3992.46,1598960,63837.85,55399,478278,29.91
ADANIGREEN, EQ, 16-Dec-2022,2024.9,2012.7,2070,2000,2059,2044.25,2033.78,841693,17118.21,38401,389389,46.26
ADANIPORTS, EQ, 16-Dec-2022,883.95,882.95,890.95,854.4,858.9,860.45,869.91,7791763,67781.47,96625,2680387,34.4
ADANIPOWER, EQ, 16-Dec-2022,315.45,315,317.7,306,307.75,307.9,310.02,4178496,12954.06,53696,2071440,49.57
ADANITRANS, EQ, 16-Dec-2022,2657,2650.5,2684.95,2568.95,2650,2643.5,2621.36,441252,11566.8,33471,120350,27.27
ADFFOODS, EQ, 16-Dec-2022,834.45,844.95,846.95,825.55,839.05,828.35,833.25,18014,150.1,2982,6000,33.31
ADL, BE, 16-Dec-2022,66.7,68.05,68.05,63.45,66.8,63.55,63.58,635,0.4,13, -, -
ADORWELD, EQ, 16-Dec-2022,836,847,847.8,827.55,830,830.35,832.31,10650,88.64,881,7888,74.07
ADROITINFO, EQ, 16-Dec-2022,30.55,29.05,29.05,29.05,29.05,29.05,29.05,16156,4.69,150,16156,100
ADSL, EQ, 16-Dec-2022,101.4,101.4,101.85,99.4,99.95,99.6,100.18,84134,84.29,1584,51281,60.95
ADVANIHOTR, EQ, 16-Dec-2022,82.5,82.5,83.5,81.75,82.85,82.85,82.53,32021,26.43,553,20098,62.77
ADVENZYMES, EQ, 16-Dec-2022,306.95,304,308.5,296,302.5,301.75,300.92,116020,349.13,7007,57139,49.25
AEGISCHEM, EQ, 16-Dec-2022,347.05,346.4,373.75,346.4,359,358.2,365.4,3800799,13888.01,60764,722171,19
AETHER, EQ, 16-Dec-2022,887.1,880,887.3,875.05,880,879.5,882.3,21478,189.5,2240,13862,64.54
AFFLE, EQ, 16-Dec-2022,1138.85,1109.85,1127,1090,1092,1092.25,1101.45,463963,5110.3,46157,290234,62.56
AGARIND, EQ, 16-Dec-2022,616.25,615,626.05,613,618,619.2,619.39,26569,164.56,1944,19250,72.45
AGI, EQ, 16-Dec-2022,317.5,317,323,313.3,320,320.3,318.65,178204,567.84,6321,85328,47.88
AGNI, SM, 16-Dec-2022,24.65,23.45,23.45,23.45,23.45,23.45,23.45,10000,2.35,1,10000,100
AGRITECH, EQ, 16-Dec-2022,103.35,105.35,107,100.6,104,103.95,104.29,14063,14.67,333,8533,60.68
AGROPHOS, EQ, 16-Dec-2022,42.85,42.85,50.7,42.8,50,49.5,47.68,1359444,648.23,9466,566142,41.65
AGSTRA, EQ, 16-Dec-2022,70.2,70.05,70.2,69.1,69.95,69.7,69.71,191211,133.28,3438,131143,68.59
AHLADA, EQ, 16-Dec-2022,115.2,119.6,119.6,109.45,110.5,111.1,111.55,20040,22.35,274,13038,65.06
AHLEAST, EQ, 16-Dec-2022,119.35,119,123,119,121.95,121.1,120.71,5266,6.36,171,4653,88.36
AHLUCONT, EQ, 16-Dec-2022,495.95,495,496,470,473.8,472.95,481.12,46258,222.56,3574,22596,48.85
AIAENG, EQ, 16-Dec-2022,2706.55,2679.5,2708.1,2606.65,2674.25,2672.4,2647.91,66305,1755.7,10790,36637,55.26
AILIMITED, SM, 16-Dec-2022,35.45,34.6,34.6,33.9,33.9,33.9,34.31,15000,5.15,5,9000,60
AIRAN, EQ, 16-Dec-2022,17.9,17.9,17.95,17.5,17.7,17.7,17.75,140101,24.87,609,111403,79.52
AIROLAM, EQ, 16-Dec-2022,87.85,87.75,90.9,86.05,87.2,87.8,88.27,26874,23.72,409,11616,43.22
AIRTELPP, E1, 16-Dec-2022,459.6,459.6,474.7,451.2,463,461.85,461.64,157191,725.66,6181,107338,68.29
AISL, SM, 16-Dec-2022,42.2,42.2,44.3,42.2,44.3,44.3,43.6,3600,1.57,3,3600,100
AJANTPHARM, EQ, 16-Dec-2022,1189.3,1188,1214.85,1180,1185.9,1186.85,1197.01,63102,755.34,12079,18681,29.6
AJMERA, EQ, 16-Dec-2022,321.45,322.4,322.4,298.5,304.9,303.55,310.55,109525,340.13,4505,59329,54.17
AJOONI, EQ, 16-Dec-2022,7.05,7.05,7.1,6.95,7,7,7.01,312617,21.92,727,201330,64.4
AJRINFRA, EQ, 16-Dec-2022,1.5,1.55,1.55,1.5,1.5,1.5,1.51,601705,9.09,355,375019,62.33
AKASH, EQ, 16-Dec-2022,32.85,32.55,33.25,32.55,32.7,32.7,32.74,10748,3.52,142,7409,68.93
AKG, EQ, 16-Dec-2022,73.05,33.95,33.95,33.95,33.95,33.95,33.95,8216,2.79,20,8216,100
AKSHAR, BE, 16-Dec-2022,75.05,73.55,73.55,73.55,73.55,73.55,73.55,2584,1.9,43, -, -
AKSHARCHEM, EQ, 16-Dec-2022,282.1,280,284.7,278.55,282.65,282.85,281.63,7653,21.55,945,4884,63.82
AKSHOPTFBR, EQ, 16-Dec-2022,10.35,10.45,10.65,10.25,10.4,10.35,10.44,341271,35.62,458,188569,55.25
AKZOINDIA, EQ, 16-Dec-2022,2285.85,2285.85,2296.6,2240.15,2271.4,2276.65,2262.97,14752,333.83,3161,8781,59.52
ALANKIT, EQ, 16-Dec-2022,11.1,11.15,11.2,11,11.1,11.1,11.11,192672,21.41,321,150571,78.15
ALBERTDAVD, EQ, 16-Dec-2022,611,611.9,615.05,594.45,605,600.2,603.23,4107,24.77,448,2847,69.32
ALEMBICLTD, EQ, 16-Dec-2022,73,73.15,73.8,72.05,72.65,72.5,72.91,104546,76.22,1344,53300,50.98
ALICON, EQ, 16-Dec-2022,964,970,980.05,935.05,973.85,961.3,957.83,16170,154.88,3017,6654,41.15
ALKALI, EQ, 16-Dec-2022,133.85,133.85,134.7,129,129.05,129.75,131.73,40055,52.76,1185,23467,58.59
ALKEM, EQ, 16-Dec-2022,3063.35,3050,3095,3040.3,3059.8,3050.55,3058.43,39422,1205.69,6952,19554,49.6
ALKYLAMINE, EQ, 16-Dec-2022,2818.5,2814.2,2814.2,2750,2786.95,2765.7,2783.86,20792,578.82,4331,12616,60.68
ALLCARGO, EQ, 16-Dec-2022,427.5,423.5,448.9,423.5,442,441.05,440.55,1435259,6323,34441,616453,42.95
ALLSEC, EQ, 16-Dec-2022,493.4,490.75,495.45,483.95,494,492.75,490.96,6231,30.59,559,3688,59.19
ALMONDZ, EQ, 16-Dec-2022,74.05,74,75.45,73.9,74.95,74.9,74.66,1364,1.02,67,721,52.86
ALOKINDS, BE, 16-Dec-2022,16.05,16.15,16.85,16.1,16.85,16.8,16.63,3127429,520.09,5428, -, -
ALPA, EQ, 16-Dec-2022,61.65,61.85,63.9,60.6,61.1,61.1,61.7,33472,20.65,652,16901,50.49
ALPHAGEO, EQ, 16-Dec-2022,280.9,282.35,283.75,273.2,274,275.05,277.77,9940,27.61,855,4665,46.93
ALPSINDUS, EQ, 16-Dec-2022,2.25,2.3,2.35,2.25,2.35,2.35,2.33,93626,2.18,76,75896,81.06
AMARAJABAT, EQ, 16-Dec-2022,651.55,648.4,654.6,636.5,639.4,639,642.93,581758,3740.28,15527,196077,33.7
AMBER, EQ, 16-Dec-2022,1997.85,1997,2044.2,1997,2013,2009.95,2023.58,70061,1417.74,10364,32102,45.82
AMBICAAGAR, EQ, 16-Dec-2022,26.3,27.05,27.05,26.2,26.4,26.35,26.46,21788,5.77,201,18390,84.4
AMBIKCO, EQ, 16-Dec-2022,1494.15,1481.05,1495,1470.05,1474.2,1475.65,1482.74,9685,143.6,3143,6131,63.3
AMBUJACEM, EQ, 16-Dec-2022,561.2,558,568.6,553.5,554,556.05,560.26,4854309,27196.69,65199,1488676,30.67
AMDIND, EQ, 16-Dec-2022,65.9,65.3,65.3,62.65,62.9,62.7,63.36,115686,73.3,1044,72243,62.45
AMEYA, SM, 16-Dec-2022,46.85,46,46,46,46,46,46,8000,3.68,2,8000,100
AMIABLE, SM, 16-Dec-2022,99.25,99.2,102.95,97,102.95,102.95,99.63,8000,7.97,5,6400,80
AMIORG, EQ, 16-Dec-2022,948.6,942,954.7,936.3,940.5,943.5,943.6,18819,177.58,2437,8620,45.8
AMJLAND, EQ, 16-Dec-2022,29.55,29.5,30.2,29.4,29.7,29.65,29.71,32521,9.66,292,19107,58.75
AMRUTANJAN, EQ, 16-Dec-2022,712.35,705,715,701,701,701.35,704.15,9202,64.8,1312,6442,70.01
ANANDRATHI, EQ, 16-Dec-2022,686.2,686.2,688.7,660,683.05,680.55,677.96,41837,283.64,2509,24260,57.99
ANANTRAJ, EQ, 16-Dec-2022,105.65,105.05,106.55,101.7,102.5,102.65,103.69,2214093,2295.71,21220,910094,41.1
ANDHRAPAP, EQ, 16-Dec-2022,437.75,441.95,441.95,424.3,434.45,433.25,431.72,34642,149.56,1402,18461,53.29
ANDHRSUGAR, EQ, 16-Dec-2022,129,129.2,136.9,129.05,135.1,135.05,133.9,904833,1211.55,13211,252014,27.85
ANDREWYU, EQ, 16-Dec-2022,31.4,30.95,33.5,29.2,32.55,32.65,31.95,6169131,1970.85,16913,2091300,33.9
ANGELONE, EQ, 16-Dec-2022,1486.75,1489.05,1498.9,1455.55,1460,1458.85,1467.76,266558,3912.43,14457,146549,54.98
ANIKINDS, EQ, 16-Dec-2022,38.85,38.65,39.85,38,38.4,38.4,38.68,39269,15.19,383,24680,62.85
ANKITMETAL, EQ, 16-Dec-2022,6.1,6.1,6.2,6,6.1,6.05,6.07,100878,6.12,258,56721,56.23
ANMOL, EQ, 16-Dec-2022,153.85,154.95,154.95,151.3,152.4,152.4,152.86,7592,11.61,208,6623,87.24
ANNAPURNA, SM, 16-Dec-2022,140.2,138.1,144,138,144,143.25,140.47,46000,64.62,23,38000,82.61
ANTGRAPHIC, EQ, 16-Dec-2022,0.9,0.9,0.9,0.85,0.9,0.9,0.87,548317,4.76,303,337122,61.48
ANUP, EQ, 16-Dec-2022,862.25,860,867.95,848,856.8,854.7,856.06,7371,63.1,1417,4200,56.98
ANURAS, EQ, 16-Dec-2022,702.2,705.6,708.4,687.3,691.3,691.55,698.71,103970,726.45,6980,61699,59.34
ANZEN, IV, 16-Dec-2022,100.8,101.2,101.2,101.2,101.2,101.2,101.2,1000000,1012,5,1000000,100
APARINDS, EQ, 16-Dec-2022,1709.9,1700.05,1727,1652.9,1670,1679.3,1685.12,112419,1894.39,17598,45500,40.47
APCL, EQ, 16-Dec-2022,240.5,229.8,232.2,217.8,220.8,219.5,223.04,107138,238.96,3828,57939,54.08
APCOTEXIND, EQ, 16-Dec-2022,470.5,469,478,461.1,467.95,466.5,470.38,57739,271.6,4189,29563,51.2
APEX, EQ, 16-Dec-2022,257.85,259.8,261.2,256.1,257.45,257.8,258.5,32962,85.21,1490,15340,46.54
APLAPOLLO, EQ, 16-Dec-2022,1155.5,1150.95,1159.7,1104,1124,1115.1,1123.6,906549,10185.96,26178,634493,69.99
APLLTD, EQ, 16-Dec-2022,586.6,586,590.45,579.9,583,583.2,584.16,38018,222.09,3852,20211,53.16
APOLLO, EQ, 16-Dec-2022,279.9,280,282.85,265.95,270.6,269.25,270.6,123946,335.39,2663,66037,53.28
APOLLOHOSP, EQ, 16-Dec-2022,4642.9,4638,4638,4551.7,4560,4565.15,4587.77,342890,15730.99,30453,171155,49.92
APOLLOPIPE, EQ, 16-Dec-2022,544.45,544,544.45,533,538.5,537.05,538.63,74047,398.84,5672,28250,38.15
APOLLOTYRE, EQ, 16-Dec-2022,322.6,320.45,326.55,316.75,321.75,323.05,322.29,3837290,12367.11,36026,1491346,38.86
APOLSINHOT, EQ, 16-Dec-2022,1350.15,1369.4,1369.45,1291.05,1301.7,1322,1331.76,1281,17.06,177,1025,80.02
APTECHT, EQ, 16-Dec-2022,322.25,322.1,326.85,311.25,314.3,313.15,316.94,127267,403.36,6030,37482,29.45
APTUS, EQ, 16-Dec-2022,303.35,304,304.65,298.7,302.25,301.75,301.39,80381,242.26,3455,56672,70.5
ARCHIDPLY, EQ, 16-Dec-2022,77.15,77.95,77.95,73.05,73.55,74.05,74.59,64729,48.28,1217,24058,37.17
ARCHIES, EQ, 16-Dec-2022,26.55,26.6,27.35,25.55,27.1,26.75,26.51,173925,46.11,1002,107283,61.68
ARENTERP, EQ, 16-Dec-2022,50.6,48.4,49.7,45.55,45.55,45.55,46.78,18895,8.84,477,13508,71.49
ARHAM, ST, 16-Dec-2022,63,66.15,66.15,66.15,66.15,66.15,66.15,102000,67.47,28,102000,100
ARIES, EQ, 16-Dec-2022,176.2,177,185.8,174,175.8,176.8,180.45,769007,1387.69,16433,283560,36.87
ARIHANTCAP, EQ, 16-Dec-2022,65.8,66.35,66.4,64.4,65.05,65.15,65.55,153043,100.32,1274,31428,20.54
ARIHANTSUP, EQ, 16-Dec-2022,230.95,230.95,234.15,227.2,227.5,228.95,231.19,82838,191.51,1828,14516,17.52
ARMANFIN, EQ, 16-Dec-2022,1415.15,1410,1459,1368.05,1450,1450.6,1429.49,9405,134.44,1342,4894,52.04
AROGRANITE, EQ, 16-Dec-2022,44.05,44.05,50.95,42.65,48.8,48.9,48.13,338111,162.72,2517,144153,42.63
ARROWGREEN, EQ, 16-Dec-2022,194,190.45,198.75,184.3,187.95,186.15,188.65,33406,63.02,1205,17393,52.07
ARSHIYA, EQ, 16-Dec-2022,9.95,10.1,10.1,9.45,9.55,9.5,9.64,1215738,117.18,1542,988212,81.28
ARSSINFRA, BE, 16-Dec-2022,21.5,21.5,22.3,21.5,21.75,21.8,21.87,6861,1.5,43, -, -
ARTEMISMED, EQ, 16-Dec-2022,77.65,78.25,79.85,77.5,77.5,77.8,78.54,131722,103.46,1557,69856,53.03
ARTNIRMAN, EQ, 16-Dec-2022,66.4,66,67,64,64,64.9,65.46,4448,2.91,109,3310,74.42
ARVEE, EQ, 16-Dec-2022,138.2,145,145.1,145,145.1,145.1,145.08,5951,8.63,70,5950,99.98
ARVIND, EQ, 16-Dec-2022,97.4,97,98.35,95.3,95.95,95.6,96.39,618565,596.25,5080,275629,44.56
ARVINDFASN, EQ, 16-Dec-2022,326.55,329.5,329.95,320.7,321.7,323.5,325.84,110180,359.01,5330,45495,41.29
ARVSMART, EQ, 16-Dec-2022,280.75,279.95,283.5,267.1,279.95,277.35,274.55,85289,234.16,3026,54421,63.81
ASAHIINDIA, EQ, 16-Dec-2022,571.2,567,573.85,555.8,557.15,559.05,562.39,83414,469.11,4766,47620,57.09
ASAHISONG, EQ, 16-Dec-2022,264.2,261,268.95,260.05,268.05,267.2,265.23,6840,18.14,613,3992,58.36
ASAL, EQ, 16-Dec-2022,383.15,389.8,395,346.25,386,381.7,376.43,46979,176.84,2236,14478,30.82
ASALCBR, EQ, 16-Dec-2022,439.2,439,440.75,433,433.55,434.05,436.45,20792,90.75,1603,12730,61.23
ASCOM, SM, 16-Dec-2022,135.65,142.4,142.4,142.4,142.4,142.4,142.4,2000,2.85,1,2000,100
ASHAPURMIN, EQ, 16-Dec-2022,85.35,85.45,87.7,85.45,86,85.95,86.67,87381,75.73,1496,56119,64.22
ASHIANA, EQ, 16-Dec-2022,142.75,142.95,144.9,137,138,138,139.33,110177,153.51,2433,63716,57.83
ASHIMASYN, EQ, 16-Dec-2022,16.9,16.8,18,16.8,17,17.05,17.23,975032,167.95,1694,751100,77.03
ASHOKA, EQ, 16-Dec-2022,83.55,82,84.1,81.95,82.25,82.2,82.85,660039,546.85,3989,301612,45.7
ASHOKLEY, EQ, 16-Dec-2022,144.05,143.2,144.3,140.6,140.95,141,142.08,11806760,16774.85,76791,6491259,54.98
ASIANENE, EQ, 16-Dec-2022,78.1,77.3,77.9,74.9,75,75.1,76.11,62630,47.67,1273,38841,62.02
ASIANHOTNR, EQ, 16-Dec-2022,87.85,88,88,86.6,86.6,87.05,87.2,2766,2.41,82,2083,75.31
ASIANPAINT, EQ, 16-Dec-2022,3130.6,3115,3117,3050.3,3062,3055.9,3075.69,1192821,36687.51,80923,762232,63.9
ASIANTILES, EQ, 16-Dec-2022,51.2,51.4,51.6,50.6,51,51,51.05,560166,285.98,1806,422708,75.46
ASLIND, SM, 16-Dec-2022,25,23.75,23.75,23.75,23.75,23.75,23.75,4000,0.95,1,4000,100
ASPINWALL, EQ, 16-Dec-2022,241.5,237.05,241.9,226.15,232.9,230.6,235.4,18641,43.88,450,14919,80.03
ASTEC, EQ, 16-Dec-2022,1798.5,1790.5,1800.4,1760.1,1762,1768.95,1779.54,12680,225.65,2070,7056,55.65
ASTERDM, EQ, 16-Dec-2022,226.65,226.05,229.25,219.05,224.7,222.15,224.74,205079,460.9,5963,106402,51.88
ASTRAL, EQ, 16-Dec-2022,2087.25,2069.4,2098,2045,2052,2051.4,2063.39,301578,6222.72,24074,99606,33.03
ASTRAMICRO, EQ, 16-Dec-2022,306.15,305.65,308.7,296.7,300,299.1,302.12,257617,778.32,6424,124347,48.27
ASTRAZEN, EQ, 16-Dec-2022,3376.15,3360.95,3414.95,3350.1,3410.05,3397.6,3379.79,8061,272.44,2253,5873,72.86
ASTRON, EQ, 16-Dec-2022,33.8,33.9,34.2,33.3,33.35,33.4,33.64,38634,13,284,26092,67.54
ATALREAL, SM, 16-Dec-2022,79,77.05,80.9,77.05,78,79,78.6,244800,192.41,41,105600,43.14
ATFL, EQ, 16-Dec-2022,819.6,818.4,832.95,813.8,828.5,826.4,822.84,3009,24.76,432,1676,55.7
ATGL, EQ, 16-Dec-2022,3550.75,3546.95,3619,3520,3605,3584.8,3575.97,320375,11456.53,24657,156013,48.7
ATLANTA, BE, 16-Dec-2022,17.8,17.45,17.45,17.45,17.45,17.45,17.45,6604,1.15,49, -, -
ATUL, EQ, 16-Dec-2022,8126.55,8130,8157.95,8024.85,8041,8058.1,8065.77,22267,1796,3937,13273,59.61
ATULAUTO, EQ, 16-Dec-2022,288.7,288.95,290.3,278.8,282,282.35,282.88,180708,511.18,6661,71350,39.48
AUBANK, EQ, 16-Dec-2022,669,660,676,660,671,667.05,669.69,1692206,11332.61,37094,982028,58.03
AURDIS, SM, 16-Dec-2022,131.6,129.95,129.95,129.65,129.65,129.65,129.8,4000,5.19,2,4000,100
AURIONPRO, EQ, 16-Dec-2022,375.6,370.05,378.45,358.1,362.75,360.8,366.59,41045,150.47,3013,24544,59.8
AUROPHARMA, EQ, 16-Dec-2022,446.9,446.85,447.9,439.4,442.05,441.85,442.92,1430109,6334.28,32739,536985,37.55
AURUM, EQ, 16-Dec-2022,126.95,125,127.85,125,126,125.5,125.62,22757,28.59,452,14308,62.87
AURUMPP, X1, 16-Dec-2022,66.5,68,69.8,64.1,67,67,65.06,18736,12.19,62,18061,96.4
AUSOMENT, EQ, 16-Dec-2022,72.6,71.7,73,70.9,71.95,72,71.75,1819,1.31,90,1147,63.06
AUTOAXLES, EQ, 16-Dec-2022,1966.15,1950.65,2020,1936,2020,2010.5,1996.34,16335,326.1,2756,10481,64.16
AUTOBEES, EQ, 16-Dec-2022,130.59,131.89,131.89,128.62,129.6,129.12,129.05,72050,92.98,979,58616,81.35
AUTOIND, EQ, 16-Dec-2022,80.75,79.6,81,78.3,79,78.5,79.39,60097,47.71,994,43422,72.25
AVADHSUGAR, EQ, 16-Dec-2022,519.15,517,558,517,545.25,544.55,547.03,412383,2255.86,17731,112844,27.36
AVANTIFEED, EQ, 16-Dec-2022,400,396.6,402.05,390.2,393,393,397.3,400300,1590.4,11824,255269,63.77
AVG, SM, 16-Dec-2022,108.05,118.8,118.8,118.8,118.8,118.8,118.8,1200,1.43,1,1200,100
AVROIND, EQ, 16-Dec-2022,109.85,109.65,111,107,107.5,108.4,109.39,38275,41.87,656,2578,6.74
AVTNPL, EQ, 16-Dec-2022,112.45,111.35,114.25,110.6,113,111.4,112.05,123986,138.92,3190,59022,47.6
AWHCL, EQ, 16-Dec-2022,314.75,314.75,316.25,310.1,310.5,313.5,312.75,77869,243.53,3059,40615,52.16
AWL, EQ, 16-Dec-2022,641.65,638,652.3,630,633.8,636.25,641.09,2950809,18917.37,42255,1319122,44.7
AXISBANK, EQ, 16-Dec-2022,938.15,932.25,945.2,929.1,935.05,935.1,935.69,6926928,64814.33,156110,4016160,57.98
AXISBNKETF, EQ, 16-Dec-2022,437.49,436.88,438.77,434.13,436.07,435,435.7,1039,4.53,64,556,53.51
AXISBPSETF, EQ, 16-Dec-2022,10.62,10.85,10.85,10.59,10.62,10.61,10.62,4249,0.45,284,3313,77.97
AXISCADES, EQ, 16-Dec-2022,274.6,271.15,288.3,260.9,288.3,288.25,275.78,139410,384.46,3200,83753,60.08
AXISCETF, EQ, 16-Dec-2022,78.33,79.94,79.94,77.12,77.12,77.37,77.88,559,0.44,30,481,86.05
